"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API 테스트","1","테스트실행","0","0","Create Test Execution","0"
"0","API 테스트","0","프로젝트 관리","1","0","프로젝트 생성 플로우","0"
"0","API 테스트","0","테스트케이스 관리","13","0","","0"
"1","API 테스트","0","테스트플랜","0","0","프로젝트별 테스트 플랜 조회","0"
"0","API 테스트","1","테스트실행","0","0","","0"
"0","API","0","TestResultReportController","1","0","테스트플랜별 담당자별 테스트 결과 리포트 조회","0"
"1","API","0","TestResultReportController","0","0","","0"
"0","API 테스트","1","사용자 인증 및 관리","0","0","","0"
"0","API 테스트","0","테스트실행","0","1","Complete Test Execution","0"
"0","API 테스트","1","테스트플랜","0","0","테스트 플랜 생성","0"
"0","API","0","TestResultReportController","1","0","프로젝트별 담당자별 테스트 결과 리포트 조회","0"
"0","API 테스트","1","테스트실행","0","0","Get All Test Executions","0"
"0","API 테스트","0","프로젝트 관리","1","0","프로젝트 삭제","0"
"0","API 테스트","0","테스트실행","0","1","Start Test Execution","0"
"0","API 테스트","1","테스트플랜","0","0","테스트 플랜 삭제","0"
"0","API 테스트","1","테스트실행","0","0","프로젝트별 TestExecution 조회","0"
"0","API 테스트","0","프로젝트 관리","1","0","프로젝트 조회 플로우","0"
"0","API 테스트","0","사용자 인증 및 관리","1","0","사용자 정보 조회","0"
"0","API 테스트","0","프로젝트 관리","1","0","프로젝트 목록 조회","0"
"0","API 테스트","0","프로젝트 관리","1","0","프로젝트 업데이트","0"
"1","API 테스트","0","테스트플랜","0","0","","0"
"0","API 테스트","0","테스트케이스 관리","2","0","CSV 파일 업로드로 테스트 케이스 가져오기","0"
"0","API 테스트","0","사용자 인증 및 관리","1","0","사용자 등록 실패 케이스","0"
"0","API 테스트","0","테스트실행","0","1","Update Test Execution","0"
"0","API 테스트","0","테스트케이스 관리","1","0","Excel 파일 업로드","0"
"0","API 테스트","0","사용자 인증 및 관리","1","0","사용자 등록","0"
"0","API 테스트","0","사용자 인증 및 관리","1","0","로그인 기능","0"
"1","API 테스트","0","테스트케이스 관리","0","0","대용량 CSV 파일 업로드 실패 검증","0"
"0","API","0","TestResultReportController","1","0","프로젝트별 테스트 결과 리포트 조회","0"
"0","API 테스트","1","테스트플랜","0","0","전체 테스트 플랜 조회","0"
"0","API 테스트","0","사용자 인증 및 관리","1","0","사용자 정보 수정","0"
"0","API 테스트","1","테스트플랜","0","0","테스트 플랜 수정","0"
"0","API 테스트","0","테스트플랜","0","1","테스트 플랜 조회","0"
"0","API","0","TestResultReportController","1","0","테스트플랜별 테스트 결과 리포트 조회","0"
